"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2013","95.50","95.17","95.70","93.68","291.42K","0.19%"
"06/25/2013","95.32","95.02","96.17","94.59","267.54K","0.15%"
"06/24/2013","95.18","93.85","95.59","92.67","315.82K","1.59%"
"06/21/2013","93.69","94.96","95.84","93.12","340.90K","-1.79%"
"06/20/2013","95.40","98.02","98.03","94.89","26.73K","-2.89%"
"06/19/2013","98.24","98.59","99.01","97.57","111.30K","-0.20%"
"06/18/2013","98.44","97.93","98.67","97.41","145.62K","0.69%"
"06/17/2013","97.77","97.85","98.74","97.38","242.79K","-0.08%"
"06/14/2013","97.85","96.64","98.25","96.42","240.91K","1.20%"
"06/13/2013","96.69","95.77","96.92","95.02","224.45K","0.84%"
"06/12/2013","95.88","94.89","96.45","94.46","244.87K","0.52%"
"06/11/2013","95.38","95.76","95.91","94.04","257.47K","-0.41%"
"06/10/2013","95.77","96.09","96.25","95.19","234.60K","-0.27%"
"06/07/2013","96.03","94.72","96.39","93.72","330.83K","1.34%"
"06/06/2013","94.76","93.70","95.32","93.69","267.16K","1.09%"
"06/05/2013","93.74","93.86","94.48","93.41","268.91K","0.46%"
"06/04/2013","93.31","93.35","94.41","92.38","301.14K","-0.15%"
"06/03/2013","93.45","91.73","93.70","91.26","287.47K","1.61%"
"05/31/2013","91.97","93.64","93.85","91.56","267.98K","-1.75%"
"05/30/2013","93.61","92.89","93.99","91.65","294.86K","0.52%"
"05/29/2013","93.13","95.05","95.22","92.83","293.46K","-1.98%"
"05/28/2013","95.01","93.89","95.92","93.23","240.99K","1.25%"
"05/27/2013","93.83","93.54","94.03","93.25","","-0.33%"
"05/24/2013","94.15","94.37","94.39","93.04","203.99K","-0.11%"
"05/23/2013","94.25","94.18","94.46","92.21","323.63K","-0.03%"
"05/22/2013","94.28","95.90","96.19","94.01","336.50K","-1.96%"
"05/21/2013","96.16","96.70","96.97","95.50","259.16K","-0.57%"
"05/20/2013","96.71","95.93","97.11","95.23","118.62K","0.72%"
"05/17/2013","96.02","95.15","96.45","94.79","187.75K","0.90%"
"05/16/2013","95.16","94.34","95.57","93.23","297.86K","0.91%"
"05/15/2013","94.30","94.13","94.44","92.13","360.68K","0.10%"
"05/14/2013","94.21","94.93","95.66","93.85","269.40K","-1.01%"
"05/13/2013","95.17","95.76","95.81","94.47","297.04K","-0.91%"
"05/10/2013","96.04","96.16","96.24","93.37","354.12K","-0.36%"
"05/09/2013","96.39","96.60","96.77","95.35","272.20K","-0.24%"
"05/08/2013","96.62","95.56","96.77","95.24","276.32K","1.05%"
"05/07/2013","95.62","95.79","96.26","94.92","260.14K","-0.56%"
"05/06/2013","96.16","95.58","97.17","94.85","271.00K","0.58%"
"05/03/2013","95.61","93.99","96.04","93.56","297.52K","1.72%"
"05/02/2013","93.99","91.00","94.25","90.65","310.81K","3.25%"
"05/01/2013","91.03","93.08","93.26","90.11","332.38K","-2.60%"
"04/30/2013","93.46","94.42","94.62","92.86","277.50K","-1.10%"
"04/29/2013","94.50","92.70","94.69","92.43","214.61K","1.61%"
"04/26/2013","93.00","93.24","93.58","92.06","240.97K","-0.68%"
"04/25/2013","93.64","91.58","93.87","91.11","270.12K","2.42%"
"04/24/2013","91.43","89.60","91.72","89.21","257.74K","2.52%"
"04/23/2013","89.18","89.28","89.60","87.80","288.80K","0.47%"
"04/22/2013","88.76","87.96","89.13","87.55","35.73K","0.85%"
"04/19/2013","88.01","88.37","88.79","87.56","100.65K","0.32%"
"04/18/2013","87.73","86.39","88.51","85.61","228.20K","1.21%"
"04/17/2013","86.68","88.80","89.09","86.06","294.27K","-2.30%"
"04/16/2013","88.72","87.42","88.96","86.06","287.41K","0.01%"
"04/15/2013","88.71","90.95","90.98","87.20","362.52K","-2.83%"
"04/12/2013","91.29","93.49","93.52","90.27","325.58K","-2.37%"
"04/11/2013","93.51","94.56","94.64","93.06","222.44K","-1.19%"
"04/10/2013","94.64","93.96","94.82","93.40","248.56K","0.47%"
"04/09/2013","94.20","93.49","94.48","92.86","234.72K","0.90%"
"04/08/2013","93.36","93.02","93.75","92.46","212.12K","0.71%"
"04/05/2013","92.70","93.36","93.57","91.91","267.28K","-0.60%"
"04/04/2013","93.26","94.50","94.84","92.12","355.32K","-1.26%"
"04/03/2013","94.45","96.93","96.96","94.18","302.24K","-2.82%"
"04/02/2013","97.19","97.00","97.44","95.91","209.88K","0.12%"
"04/01/2013","97.07","97.36","97.80","95.92","192.40K","-0.16%"
"03/28/2013","97.23","96.68","97.35","96.26","174.39K","0.67%"
"03/27/2013","96.58","96.18","96.84","95.58","207.78K","0.25%"
"03/26/2013","96.34","94.75","96.45","94.67","214.35K","1.61%"
"03/25/2013","94.81","93.72","95.65","93.70","270.65K","1.17%"
"03/22/2013","93.71","92.33","93.94","92.33","202.67K","1.36%"
"03/21/2013","92.45","93.40","93.53","91.84","214.13K","-0.55%"
"03/20/2013","92.96","92.09","93.28","92.09","27.76K","0.87%"
"03/19/2013","92.16","93.80","94.09","92.03","96.80K","-1.69%"
"03/18/2013","93.74","93.26","93.94","91.76","151.21K","0.31%"
"03/15/2013","93.45","93.15","93.84","93.00","175.61K","0.45%"
"03/14/2013","93.03","92.51","93.25","92.01","174.70K","0.55%"
"03/13/2013","92.52","92.62","93.40","91.91","251.34K","-0.02%"
"03/12/2013","92.54","91.94","93.47","91.60","283.11K","0.52%"
"03/11/2013","92.06","91.83","92.15","90.89","194.61K","0.12%"
"03/08/2013","91.95","91.42","92.03","90.83","219.96K","0.43%"
"03/07/2013","91.56","90.42","91.73","90.22","234.92K","1.25%"
"03/06/2013","90.43","90.83","91.17","89.55","244.17K","-0.43%"
"03/05/2013","90.82","90.23","90.99","90.02","209.87K","0.78%"
"03/04/2013","90.12","90.71","90.91","89.33","231.11K","-0.62%"
"03/01/2013","90.68","91.76","91.97","90.04","248.47K","-1.49%"
"02/28/2013","92.05","92.89","93.18","91.57","218.12K","-0.77%"
"02/27/2013","92.76","92.72","93.37","92.18","201.51K","0.14%"
"02/26/2013","92.63","91.92","93.44","91.92","230.84K","-0.52%"
"02/25/2013","93.11","93.23","94.46","92.07","217.52K","-0.02%"
"02/22/2013","93.13","92.96","93.48","92.44","204.26K","0.31%"
"02/21/2013","92.84","94.72","94.92","92.63","286.43K","-1.72%"
"02/20/2013","94.46","96.66","97.07","93.92","30.29K","-2.28%"
"02/19/2013","96.66","95.97","96.73","95.25","118.31K","0.83%"
"02/15/2013","95.86","97.34","97.47","95.21","223.59K","-1.49%"
"02/14/2013","97.31","97.17","97.71","96.77","174.60K","0.31%"
"02/13/2013","97.01","97.59","98.11","96.63","246.44K","-0.51%"
"02/12/2013","97.51","96.96","97.79","96.68","239.80K","0.49%"
"02/11/2013","97.03","95.79","97.09","94.97","283.96K","1.37%"
"02/08/2013","95.72","95.92","96.57","95.27","229.24K","-0.11%"
"02/07/2013","95.83","96.86","97.21","95.54","275.47K","-0.82%"
"02/06/2013","96.62","96.64","96.99","95.04","282.80K","-0.02%"
"02/05/2013","96.64","96.13","97.07","95.91","188.84K","0.49%"
"02/04/2013","96.17","97.72","97.76","95.89","196.98K","-1.64%"
"02/01/2013","97.77","97.42","98.15","96.51","270.28K","0.29%"
"01/31/2013","97.49","97.96","98.04","96.84","230.63K","-0.46%"
"01/30/2013","97.94","97.32","98.24","97.32","211.28K","0.38%"
"01/29/2013","97.57","96.46","97.82","96.29","252.93K","1.17%"
"01/28/2013","96.44","96.04","96.81","95.47","167.19K","0.58%"
"01/25/2013","95.88","95.95","96.56","95.43","184.87K","-0.07%"
"01/24/2013","95.95","95.50","96.68","95.12","232.04K","0.76%"
"01/23/2013","95.23","96.76","96.92","94.95","318.01K","-1.05%"
"01/22/2013","96.24","95.25","96.38","94.98","37.96K","0.71%"
"01/18/2013","95.56","95.19","95.67","94.91","118.55K","0.07%"
"01/17/2013","95.49","94.19","96.04","93.80","178.29K","1.33%"
"01/16/2013","94.24","93.40","94.36","93.10","241.53K","1.03%"
"01/15/2013","93.28","94.20","94.44","93.22","248.14K","-0.91%"
"01/14/2013","94.14","93.74","94.29","92.95","248.60K","0.62%"
"01/11/2013","93.56","93.87","94.13","92.65","257.82K","-0.28%"
"01/10/2013","93.82","93.19","94.70","93.08","279.30K","0.77%"
"01/09/2013","93.10","93.15","93.65","92.68","201.39K","-0.05%"
"01/08/2013","93.15","93.32","93.80","92.67","195.87K","-0.04%"
"01/07/2013","93.19","93.21","93.35","92.42","166.29K","0.11%"
"01/04/2013","93.09","92.86","93.21","91.52","210.75K","0.18%"
"01/03/2013","92.92","92.91","93.30","92.49","189.81K","-0.21%"
"01/02/2013","93.12","91.78","93.87","91.56","203.87K","1.42%"
"12/31/2012","91.82","90.41","91.99","90.00","119.53K","1.12%"
"12/28/2012","90.80","91.15","91.49","90.32","131.37K","-0.08%"
"12/27/2012","90.87","91.00","91.44","90.05","152.77K","-0.12%"
"12/26/2012","90.98","88.62","91.30","88.59","141.60K","2.67%"
"12/24/2012","88.61","88.60","88.86","88.20","48.52K","-0.06%"
"12/21/2012","88.66","90.02","90.07","87.96","180.38K","-1.63%"
"12/20/2012","90.13","89.69","90.54","89.26","178.14K","0.69%"
"12/19/2012","89.51","87.94","89.90","87.81","36.81K","1.80%"
"12/18/2012","87.93","87.45","88.16","87.21","93.13K","0.84%"
"12/17/2012","87.20","86.88","87.71","86.48","157.23K","0.54%"
"12/14/2012","86.73","86.13","86.92","86.05","218.27K","0.98%"
"12/13/2012","85.89","86.77","86.97","85.81","228.42K","-1.01%"
"12/12/2012","86.77","85.69","87.68","85.68","300.35K","1.14%"
"12/11/2012","85.79","85.70","86.37","85.21","217.86K","0.27%"
"12/10/2012","85.56","85.98","86.78","85.33","211.60K","-0.43%"
"12/07/2012","85.93","86.39","86.92","85.77","244.99K","-0.38%"
"12/06/2012","86.26","87.87","88.23","85.68","269.29K","-1.84%"
"12/05/2012","87.88","88.50","89.05","87.46","220.85K","-0.70%"
"12/04/2012","88.50","88.93","89.18","87.57","206.27K","-0.66%"
"12/03/2012","89.09","88.85","90.33","88.66","235.99K","0.20%"
"11/30/2012","88.91","87.66","88.99","87.47","216.21K","0.95%"
"11/29/2012","88.07","86.57","88.69","86.55","270.03K","1.83%"
"11/28/2012","86.49","87.33","87.34","85.36","249.74K","-0.79%"
"11/27/2012","87.18","87.82","88.25","86.83","210.47K","-0.64%"
"11/26/2012","87.74","88.21","88.29","87.27","156.59K","-0.61%"
"11/23/2012","88.28","87.68","88.53","86.71","104.94K","1.03%"
"11/21/2012","87.38","87.28","87.89","86.37","220.98K","0.73%"
"11/20/2012","86.75","89.15","89.19","86.17","322.63K","-2.83%"
"11/19/2012","89.28","87.30","89.80","87.11","247.08K","3.01%"
"11/16/2012","86.67","85.28","87.01","85.02","40.71K","1.43%"
"11/15/2012","85.45","86.36","86.83","84.68","168.10K","-1.01%"
"11/14/2012","86.32","85.37","86.65","84.93","265.31K","1.10%"
"11/13/2012","85.38","85.59","85.95","84.57","352.25K","-0.22%"
"11/12/2012","85.57","86.19","86.54","85.27","280.69K","-0.58%"
"11/09/2012","86.07","85.00","86.77","84.13","322.40K","1.15%"
"11/08/2012","85.09","84.52","85.70","84.22","296.60K","0.77%"
"11/07/2012","84.44","88.42","88.80","84.05","422.21K","-4.81%"
"11/06/2012","88.71","85.67","89.22","85.42","303.43K","3.57%"
"11/05/2012","85.65","84.65","85.90","84.34","221.40K","0.93%"
"11/02/2012","84.86","86.91","87.24","84.66","297.31K","-2.56%"
"11/01/2012","87.09","86.10","87.42","85.92","197.18K","0.99%"
"10/31/2012","86.24","85.73","87.19","85.61","212.58K","0.65%"
"10/30/2012","85.68","85.31","86.24","85.10","106.22K","0.16%"
"10/29/2012","85.54","86.43","86.43","84.66","145.73K","-0.86%"
"10/26/2012","86.28","86.00","86.37","85.00","212.38K","0.27%"
"10/25/2012","86.05","85.65","86.75","85.23","208.68K","0.37%"
"10/24/2012","85.73","86.60","87.47","84.94","298.16K","-1.08%"
"10/23/2012","86.67","89.14","89.29","85.69","309.49K","-2.32%"
"10/22/2012","88.73","89.52","90.80","88.21","23.96K","-1.47%"
"10/19/2012","90.05","92.04","93.05","89.83","123.65K","-2.23%"
"10/18/2012","92.10","92.06","92.59","90.66","184.65K","-0.02%"
"10/17/2012","92.12","92.08","92.85","91.55","226.34K","0.03%"
"10/16/2012","92.09","91.76","92.32","91.30","232.22K","0.26%"
"10/15/2012","91.85","91.63","92.20","89.79","269.02K","-0.01%"
"10/12/2012","91.86","92.41","92.64","91.16","198.46K","-0.23%"
"10/11/2012","92.07","91.27","92.94","91.09","300.09K","0.90%"
"10/10/2012","91.25","92.26","93.66","91.02","303.50K","-1.23%"
"10/09/2012","92.39","89.62","92.91","89.29","378.04K","3.43%"
"10/08/2012","89.33","89.85","89.89","88.21","202.69K","-0.61%"
"10/05/2012","89.88","91.51","91.71","89.01","279.13K","-2.00%"
"10/04/2012","91.71","88.01","91.84","87.91","291.39K","4.05%"
"10/03/2012","88.14","91.64","91.82","87.70","339.51K","-4.08%"
"10/02/2012","91.89","92.41","92.94","91.62","177.73K","-0.64%"
"10/01/2012","92.48","92.15","93.33","91.26","216.01K","0.31%"
"09/28/2012","92.19","92.35","92.71","91.40","210.20K","0.37%"
"09/27/2012","91.85","90.08","92.39","89.88","237.29K","2.08%"
"09/26/2012","89.98","90.82","91.34","88.95","272.06K","-1.52%"
"09/25/2012","91.37","92.11","93.20","90.57","239.02K","-0.61%"
"09/24/2012","91.93","93.18","93.18","91.06","188.32K","-1.03%"
"09/21/2012","92.89","92.93","93.84","92.59","181.04K","1.11%"
"09/20/2012","91.87","91.77","92.37","90.66","30.14K","-0.12%"
"09/19/2012","91.98","95.49","96.17","91.25","133.04K","-3.47%"
"09/18/2012","95.29","96.71","97.23","95.11","196.21K","-1.38%"
"09/17/2012","96.62","99.15","99.52","94.65","308.27K","-2.40%"
"09/14/2012","99.00","98.04","100.42","97.99","271.79K","0.70%"
"09/13/2012","98.31","96.93","98.58","96.51","291.06K","1.34%"
"09/12/2012","97.01","96.85","98.06","96.31","223.53K","-0.16%"
"09/11/2012","97.17","96.29","97.31","96.08","222.01K","0.65%"
"09/10/2012","96.54","96.24","96.63","95.34","222.00K","0.12%"
"09/07/2012","96.42","94.70","96.74","94.08","293.03K","0.93%"
"09/06/2012","95.53","96.00","97.71","94.59","327.08K","0.18%"
"09/05/2012","95.36","95.61","96.03","94.26","233.04K","0.06%"
"09/04/2012","95.30","96.38","97.37","94.97","256.15K","-1.21%"
"08/31/2012","96.47","94.75","96.92","94.51","249.06K","1.96%"
"08/30/2012","94.62","95.30","95.60","93.95","192.46K","-0.91%"
"08/29/2012","95.49","96.08","96.37","94.76","185.89K","-0.87%"
"08/28/2012","96.33","95.66","96.54","95.14","198.46K","0.90%"
"08/27/2012","95.47","96.67","97.72","94.41","230.84K","-0.71%"
"08/24/2012","96.15","96.06","97.17","95.41","204.23K","-0.12%"
"08/23/2012","96.27","97.30","98.29","95.75","225.16K","-1.02%"
"08/22/2012","97.26","96.94","97.54","96.26","217.44K","0.60%"
"08/21/2012","96.68","95.97","97.60","95.81","33.07K","0.74%"
"08/20/2012","95.97","96.36","96.53","95.02","113.31K","-0.04%"
"08/17/2012","96.01","95.23","96.28","94.98","162.59K","0.43%"
"08/16/2012","95.60","94.21","95.75","93.93","212.63K","1.35%"
"08/15/2012","94.33","93.25","94.90","92.68","281.64K","0.96%"
"08/14/2012","93.43","92.71","93.92","92.56","200.41K","0.75%"
"08/13/2012","92.73","93.25","94.14","92.05","280.27K","-0.15%"
"08/10/2012","92.87","93.46","93.87","91.71","224.51K","-0.52%"
"08/09/2012","93.36","93.43","94.21","93.07","258.64K","0.01%"
"08/08/2012","93.35","93.41","94.72","92.82","269.93K","-0.34%"
"08/07/2012","93.67","92.05","94.42","91.78","260.01K","1.59%"
"08/06/2012","92.20","91.34","92.33","90.63","194.37K","0.88%"
"08/03/2012","91.40","87.26","91.74","87.23","301.78K","4.90%"
"08/02/2012","87.13","88.87","89.63","86.92","302.70K","-2.00%"
"08/01/2012","88.91","88.03","89.47","87.51","281.20K","0.97%"
"07/31/2012","88.06","89.67","90.30","87.31","282.85K","-1.92%"
"07/30/2012","89.78","90.14","90.95","89.33","191.10K","-0.39%"
"07/27/2012","90.13","89.43","90.45","89.13","210.41K","0.83%"
"07/26/2012","89.39","89.10","90.47","88.07","233.40K","0.47%"
"07/25/2012","88.97","88.20","89.36","86.84","289.55K","0.53%"
"07/24/2012","88.50","88.05","89.09","87.43","309.87K","0.41%"
"07/23/2012","88.14","91.61","91.64","87.91","290.36K","-3.61%"
"07/20/2012","91.44","92.22","92.30","90.66","22.10K","-1.32%"
"07/19/2012","92.66","90.08","92.94","89.86","102.93K","3.10%"
"07/18/2012","89.87","89.13","90.04","88.59","192.85K","0.73%"
"07/17/2012","89.22","88.26","89.46","87.41","262.79K","0.89%"
"07/16/2012","88.43","87.13","88.48","86.41","223.12K","1.53%"
"07/13/2012","87.10","85.86","87.61","85.58","260.83K","1.18%"
"07/12/2012","86.08","86.20","86.37","84.21","240.73K","0.31%"
"07/11/2012","85.81","84.01","86.49","84.01","307.82K","2.26%"
"07/10/2012","83.91","85.84","85.95","83.65","291.41K","-2.42%"
"07/09/2012","85.99","84.20","86.48","84.00","256.90K","1.82%"
"07/06/2012","84.45","86.73","87.13","84.02","296.20K","-3.18%"
"07/05/2012","87.22","87.75","88.98","86.50","368.62K","-0.50%"
"07/03/2012","87.66","83.67","88.04","83.33","336.19K","4.67%"
"07/02/2012","83.75","84.65","85.05","82.10","299.10K","-1.42%"
"06/29/2012","84.96","78.46","85.34","78.28","439.01K","9.36%"
"06/28/2012","77.69","80.48","80.84","77.28","310.15K","-3.14%"
"06/27/2012","80.21","79.47","80.92","78.68","253.01K","1.07%"
"06/26/2012","79.36","79.23","79.68","78.36","253.30K","0.19%"
"06/25/2012","79.21","80.20","80.68","78.03","249.00K","-0.69%"
"06/22/2012","79.76","78.11","80.37","77.56","293.22K","1.99%"
"06/21/2012","78.20","81.08","81.20","77.93","376.97K","-4.40%"
"06/20/2012","81.80","84.04","84.34","80.91","37.37K","-2.65%"
"06/19/2012","84.03","83.06","84.41","82.28","109.01K","0.91%"
"06/18/2012","83.27","85.09","85.60","82.04","216.96K","-0.90%"
"06/15/2012","84.03","84.33","84.80","83.42","216.55K","0.14%"
"06/14/2012","83.91","82.44","84.42","82.27","278.94K","1.56%"
"06/13/2012","82.62","83.51","84.01","82.15","327.54K","-0.84%"
"06/12/2012","83.32","81.18","83.72","81.07","320.80K","0.75%"
"06/11/2012","82.70","85.72","86.64","81.11","343.21K","-1.66%"
"06/08/2012","84.10","83.63","84.67","82.00","304.64K","-0.85%"
"06/07/2012","84.82","85.50","87.03","83.43","339.00K","-0.24%"
"06/06/2012","85.02","84.12","86.27","84.03","313.10K","0.87%"
"06/05/2012","84.29","84.14","84.92","83.31","246.36K","0.37%"
"06/04/2012","83.98","82.96","84.38","81.21","309.78K","0.90%"
"06/01/2012","83.23","86.44","86.59","82.29","407.58K","-3.81%"
"05/31/2012","86.53","87.55","88.28","85.86","345.43K","-1.47%"
"05/30/2012","87.82","90.86","90.92","87.27","297.20K","-3.24%"
"05/29/2012","90.76","91.00","92.21","90.25","262.56K","-0.11%"
"05/25/2012","90.86","90.79","91.32","90.20","153.92K","0.22%"
"05/24/2012","90.66","90.53","91.52","89.81","231.52K","0.85%"
"05/23/2012","89.90","91.54","91.72","89.28","275.52K","-1.92%"
"05/22/2012","91.66","92.64","93.01","91.39","27.36K","-0.98%"
"05/21/2012","92.57","91.27","93.06","90.84","107.24K","1.19%"
"05/18/2012","91.48","92.86","92.88","90.93","211.75K","-1.17%"
"05/17/2012","92.56","92.77","93.88","92.09","280.07K","-0.27%"
"05/16/2012","92.81","93.16","94.16","91.81","308.37K","-1.24%"
"05/15/2012","93.98","93.91","95.48","93.02","284.71K","-0.84%"
"05/14/2012","94.78","95.79","95.83","93.65","251.99K","-1.40%"
"05/11/2012","96.13","96.53","97.20","95.56","260.54K","-0.98%"
"05/10/2012","97.08","96.45","97.69","96.08","282.31K","0.28%"
"05/09/2012","96.81","97.38","97.39","95.17","332.87K","-0.21%"
"05/08/2012","97.01","97.96","98.12","95.52","333.77K","-0.95%"
"05/07/2012","97.94","98.05","98.24","95.34","300.47K","-0.56%"
"05/04/2012","98.49","102.59","102.72","97.51","443.06K","-3.95%"
"05/03/2012","102.54","105.39","105.42","102.36","316.88K","-2.55%"
"05/02/2012","105.22","105.98","106.05","104.91","256.65K","-0.89%"
"05/01/2012","106.16","104.89","106.43","104.39","245.92K","1.23%"
"04/30/2012","104.87","104.93","105.16","103.88","211.45K","-0.06%"
"04/27/2012","104.93","104.10","105.00","103.74","182.10K","0.36%"
"04/26/2012","104.55","103.96","104.92","103.84","192.83K","0.41%"
"04/25/2012","104.12","103.76","104.57","103.11","276.65K","0.55%"
"04/24/2012","103.55","103.11","104.10","102.79","196.14K","0.43%"
"04/23/2012","103.11","103.82","103.90","101.82","213.20K","0.06%"
"04/20/2012","103.05","102.57","104.27","102.45","23.58K","0.76%"
"04/19/2012","102.27","102.73","103.21","101.67","91.40K","-0.39%"
"04/18/2012","102.67","104.22","104.51","102.19","195.81K","-1.47%"
"04/17/2012","104.20","103.15","105.07","102.66","244.52K","1.23%"
"04/16/2012","102.93","102.80","103.37","101.80","284.96K","0.10%"
"04/13/2012","102.83","103.66","103.90","102.61","227.26K","-0.78%"
"04/12/2012","103.64","102.55","104.24","102.39","271.29K","0.92%"
"04/11/2012","102.70","100.94","103.13","100.84","283.01K","1.66%"
"04/10/2012","101.02","102.33","102.96","100.68","312.93K","-1.41%"
"04/09/2012","102.46","102.53","102.60","100.81","205.92K","-0.82%"
"04/05/2012","103.31","101.96","103.40","101.37","242.90K","1.81%"
"04/04/2012","101.47","104.09","104.12","101.08","300.73K","-2.44%"
"04/03/2012","104.01","105.04","105.18","103.59","245.54K","-1.16%"
"04/02/2012","105.23","103.27","105.49","102.06","278.10K","2.15%"
"03/30/2012","103.02","103.29","104.15","102.78","244.16K","0.23%"
"03/29/2012","102.78","105.58","105.70","102.13","319.99K","-2.50%"
"03/28/2012","105.41","106.81","106.94","104.67","309.06K","-1.79%"
"03/27/2012","107.33","107.09","107.73","106.52","209.04K","0.28%"
"03/26/2012","107.03","106.79","107.32","106.19","162.28K","0.15%"
"03/23/2012","106.87","105.52","108.25","105.16","260.27K","1.44%"
"03/22/2012","105.35","106.81","107.12","104.50","295.47K","-1.79%"
"03/21/2012","107.27","106.33","107.64","106.06","252.60K","1.57%"
"03/20/2012","105.61","107.82","107.91","105.35","26.44K","-2.29%"
"03/19/2012","108.09","107.18","108.24","106.55","110.35K","0.96%"
"03/16/2012","107.06","105.44","107.34","105.13","192.99K","1.86%"
"03/15/2012","105.11","105.50","106.18","103.78","371.04K","-0.30%"
"03/14/2012","105.43","106.69","107.02","105.12","283.51K","-1.20%"
"03/13/2012","106.71","106.55","107.35","105.67","282.35K","0.35%"
"03/12/2012","106.34","107.50","107.56","105.38","234.73K","-0.99%"
"03/09/2012","107.40","106.91","108.20","106.13","292.69K","0.77%"
"03/08/2012","106.58","106.24","107.20","105.84","296.55K","0.40%"
"03/07/2012","106.16","104.93","106.55","104.35","333.24K","1.39%"
"03/06/2012","104.70","107.11","107.34","104.51","332.56K","-1.89%"
"03/05/2012","106.72","106.75","107.42","105.50","237.45K","0.02%"
"03/02/2012","106.70","108.75","109.03","105.80","299.66K","-1.97%"
"03/01/2012","108.84","106.82","110.55","106.55","389.84K","1.65%"
"02/29/2012","107.07","106.46","107.43","104.84","353.13K","0.49%"
"02/28/2012","106.55","107.95","108.79","106.30","278.72K","-1.85%"
"02/27/2012","108.56","109.67","109.77","107.27","277.60K","-1.10%"
"02/24/2012","109.77","108.66","109.95","107.95","267.71K","1.80%"
"02/23/2012","107.83","105.95","108.74","105.45","325.66K","1.46%"
"02/22/2012","106.28","106.01","106.72","105.61","241.33K","0.42%"
"02/21/2012","105.84","104.65","106.07","104.26","32.98K","2.52%"
"02/17/2012","103.24","102.35","104.14","102.25","134.50K","0.91%"
"02/16/2012","102.31","101.90","102.69","100.84","197.31K","0.50%"
"02/15/2012","101.80","100.90","102.54","100.61","278.27K","1.05%"
"02/14/2012","100.74","100.73","101.84","100.28","314.29K","-0.17%"
"02/13/2012","100.91","99.33","100.87","99.09","268.06K","2.27%"
"02/10/2012","98.67","99.89","99.89","97.32","307.56K","-1.17%"
"02/09/2012","99.84","99.10","100.18","98.66","295.43K","1.14%"
"02/08/2012","98.71","98.77","100.09","98.10","364.74K","0.30%"
"02/07/2012","98.41","97.13","99.13","95.84","400.23K","1.55%"
"02/06/2012","96.91","97.74","97.75","96.38","257.72K","-0.95%"
"02/03/2012","97.84","96.61","98.03","96.01","318.64K","1.54%"
"02/02/2012","96.36","97.11","97.99","95.44","331.24K","-1.28%"
"02/01/2012","97.61","98.38","99.49","97.11","293.55K","-0.88%"
"01/31/2012","98.48","98.88","101.29","97.86","373.89K","-0.30%"
"01/30/2012","98.78","100.00","100.05","98.43","215.83K","-0.78%"
"01/27/2012","99.56","99.93","100.63","99.13","253.46K","-0.14%"
"01/26/2012","99.70","99.96","101.39","99.23","260.74K","0.30%"
"01/25/2012","99.40","99.20","100.40","97.53","322.79K","0.45%"
"01/24/2012","98.95","99.88","100.18","98.25","242.48K","-0.63%"
"01/23/2012","99.58","98.34","100.24","97.40","238.96K","1.14%"
"01/20/2012","98.46","100.39","100.74","97.91","34.90K","-1.92%"
"01/19/2012","100.39","101.14","102.06","99.98","120.17K","-0.20%"
"01/18/2012","100.59","100.91","102.06","99.84","269.39K","-0.12%"
"01/17/2012","100.71","98.95","101.01","98.60","322.04K","2.04%"
"01/13/2012","98.70","99.20","100.19","97.70","335.62K","-0.40%"
"01/12/2012","99.10","101.00","102.98","98.50","370.51K","-1.75%"
"01/11/2012","100.87","102.20","102.46","100.55","311.64K","-1.34%"
"01/10/2012","102.24","101.30","103.41","101.30","291.27K","0.92%"
"01/09/2012","101.31","101.92","102.15","100.10","311.87K","-0.25%"
"01/06/2012","101.56","101.35","102.80","100.88","290.46K","-0.25%"
"01/05/2012","101.81","103.29","103.73","101.30","295.62K","-1.37%"
"01/04/2012","103.22","102.99","103.74","101.88","271.71K","0.25%"
"01/03/2012","102.96","99.70","103.18","99.65","275.48K","4.18%"
"12/30/2011","98.83","99.78","100.16","98.61","154.06K","-0.82%"
"12/29/2011","99.65","99.59","99.92","98.30","153.92K","0.29%"
"12/28/2011","99.36","101.25","101.71","99.11","164.66K","-1.95%"
"12/27/2011","101.34","99.92","101.77","99.37","124.24K","1.67%"
"12/23/2011","99.68","99.48","100.23","99.24","95.27K","0.15%"
"12/22/2011","99.53","99.03","100.05","98.51","151.56K","0.87%"
"12/21/2011","98.67","97.53","99.25","96.80","219.51K","1.49%"
"12/20/2011","97.22","94.14","97.45","94.14","35.84K","3.56%"
"12/19/2011","93.88","93.76","94.42","92.54","114.56K","0.37%"
"12/16/2011","93.53","93.42","94.79","92.52","205.89K","-0.36%"
"12/15/2011","93.87","94.89","95.99","93.31","273.76K","-1.14%"
"12/14/2011","94.95","100.33","100.33","94.21","377.48K","-5.18%"
"12/13/2011","100.14","97.85","101.25","97.64","380.75K","2.42%"
"12/12/2011","97.77","99.58","99.68","97.54","279.15K","-1.65%"
"12/09/2011","99.41","98.08","99.91","97.36","318.77K","1.09%"
"12/08/2011","98.34","100.84","101.73","97.71","340.68K","-2.14%"
"12/07/2011","100.49","101.11","101.94","99.67","330.53K","-0.78%"
"12/06/2011","101.28","100.45","101.42","100.20","217.03K","0.29%"
"12/05/2011","100.99","101.23","102.44","100.24","239.38K","0.03%"
